id;date;from_seliste_id;to_seliste_id;exchange;value
236;2013-08-29;84;245;"Prêt perforateur";30
237;2013-08-30;81;43;"ourlets pantalon";60
238;2013-09-01;124;82;"pret décapeuse";25
239;2013-09-01;124;259;"prise de panier";10
240;2013-09-22;43;45;"Don meuble casier";20
241;2013-09-23;42;81;"prêt d'un portant";20
242;2013-09-29;259;194;"Don d'un demi-panier du 2 et du 9 octobre";30
243;2013-09-29;210;42;"prêt de la saison 5 de Mad Men et de la saison 1 de The wire";20
244;2013-09-29;42;210;"prêt du Hors-Sèrie Le Monde spécial Séries";10
245;2013-09-29;43;179;"Prêt jeu Tantrix";10
246;2013-09-29;120;179;"Prêt jeu Hanabi";10
248;2013-10-26;245;148;"Atelier cuisine";36
249;2013-10-26;245;43;"atelier cuisine";36
250;2013-10-26;245;94;"atelier cuisine";36
251;2013-10-28;120;245;"Atelier cuisine";36
252;2013-10-28;245;120;"cuisine";72
253;2013-10-29;120;78;"jardinage";90
254;2013-10-29;42;88;"don d'une étagère billy";50
255;2013-10-29;42;81;"don d'un VTC femme";80
256;2013-10-30;282;94;"aide à démènagement frigo";90
257;2013-10-30;42;245;"Don vélo homme";80
258;2013-11-01;59;42;" cours d'allemand (2h)";120
259;2013-11-02;59;42;"cours d'allemand 1h";60
260;2013-11-06;194;79;"Prêt d'un Vaporetto";25
261;2013-11-14;81;179;"Prêt livre enfant";10
262;2013-11-15;81;179;"Garde d'enfant";150
263;2013-11-23;124;177;"Prêt de cartons";10
264;2013-11-23;59;42;"cours d'allemand 1/2 heure";30
265;2013-11-20;276;262;"revue Alternatives Economiques";5
266;2013-11-23;45;43;"Atelier deco Noel";10
267;2013-11-26;120;43;"Atelier deco Noel";10
268;2013-11-26;81;43;"Atelier deco Noel";10
269;2013-11-29;120;94;"atelier Noël + prêt d'un diable";15
270;2013-11-29;81;94;"atelier déco noël";10
271;2013-11-29;45;94;"atelier déco noël";10
275;2013-11-30;56;209;"dépannage imprimante";60
273;2013-11-30;56;54;"don d'un velo enfant";50
276;2013-12-01;45;103;"atelier deco noel";10
277;2013-12-01;81;103;"Atelier deco noel";10
278;2013-12-01;120;103;"Atelier deco noel";10
279;2013-12-04;177;45;"Don d'une lampe de luminothérapie";30
280;2013-12-05;94;120;"Don de Chapeau !";30
